"智光商工115學年度新生繡學號各班收費明細表",,,,,,,,,,,
"班級: 資處一仁","","班長簽章: ","","總務股長簽章: ","","導師簽章: ",,,,,
"座號","姓名","學號","夏季短袖制服上衣 ($55)","冬季長袖制服上衣 ($55)","夏季短袖運動上衣 ($55)","冬季長袖運動上衣 ($55)","各科實習服 ($55)","帽子 ($55)","冬季棒球運動外套 ($65)","合計 (元)","簽名/繳費"
1,"","","0","0","0","0","0","0","0","0",""
2,"","","0","0","0","0","0","0","0","0",""
3,"","","0","0","0","0","0","0","0","0",""
4,"","","0","0","0","0","0","0","0","0",""
5,"","","0","0","0","0","0","0","0","0",""
6,"","","0","0","0","0","0","0","0","0",""
7,"","","0","0","0","0","0","0","0","0",""
8,"","","0","0","0","0","0","0","0","0",""
9,"","","0","0","0","0","0","0","0","0",""
10,"","","0","0","0","0","0","0","0","0",""
11,"","","0","0","0","0","0","0","0","0",""
12,"","","0","0","0","0","0","0","0","0",""
13,"","","0","0","0","0","0","0","0","0",""
14,"","","0","0","0","0","0","0","0","0",""
15,"","","0","0","0","0","0","0","0","0",""
16,"","","0","0","0","0","0","0","0","0",""
17,"","","0","0","0","0","0","0","0","0",""
18,"","","0","0","0","0","0","0","0","0",""
19,"","","0","0","0","0","0","0","0","0",""
20,"","","0","0","0","0","0","0","0","0",""
21,"","","0","0","0","0","0","0","0","0",""
22,"","","0","0","0","0","0","0","0","0",""
23,"","","0","0","0","0","0","0","0","0",""
24,"","","0","0","0","0","0","0","0","0",""
25,"","","0","0","0","0","0","0","0","0",""
26,"","","0","0","0","0","0","0","0","0",""
27,"","","0","0","0","0","0","0","0","0",""
28,"","","0","0","0","0","0","0","0","0",""
29,"","","0","0","0","0","0","0","0","0",""
30,"","","0","0","0","0","0","0","0","0",""
31,"","","0","0","0","0","0","0","0","0",""
"全班統計","件數總計","","0","0","0","0","0","0","0","總金額: 0元",""
